hypothesis_id,birth_model,partition,direction_source,year,event_count,mean_excess_return,up_rate,direction
HYP-CFL-BZ-POS-HL-NEG-CAL-001,listing_open_v1,OOS,calibrated,2026,11,0.032838,0.636364,1
HYP-CFL-BZ-POS-HL-NEG-CAL-001,listing_close_v1,OOS,calibrated,2023,76,-0.02324,0.5,-1
HYP-CFL-BZ-POS-HL-NEG-CAL-001,listing_close_v1,OOS,calibrated,2024,31,0.001021,0.419355,1
HYP-CFL-BZ-POS-HL-NEG-CAL-001,listing_close_v1,OOS,calibrated,2025,34,-0.003417,0.382353,-1
HYP-CFL-BZ-POS-HL-NEG-CAL-001,listing_close_v1,OOS,calibrated,2026,8,0.0653,0.75,1
HYP-CFL-BZ-POS-HL-NEG-CAL-001,ipo_approx_v1,OOS,calibrated,2023,106,-0.018348,0.462264,-1
HYP-CFL-BZ-POS-HL-NEG-CAL-001,ipo_approx_v1,OOS,calibrated,2024,17,-0.025819,0.411765,-1
HYP-CFL-BZ-POS-HL-NEG-CAL-001,ipo_approx_v1,OOS,calibrated,2025,19,-0.005269,0.368421,-1
HYP-CFL-BZ-POS-HL-NEG-CAL-001,ipo_approx_v1,OOS,calibrated,2026,4,0.401375,0.5,1
HYP-CFL-ZW-POS-HL-NEG-CAL-001,listing_open_v1,OOS,calibrated,2023,108,-0.029642,0.5,-1
HYP-CFL-ZW-POS-HL-NEG-CAL-001,listing_open_v1,OOS,calibrated,2024,54,0.031872,0.555556,1
HYP-CFL-ZW-POS-HL-NEG-CAL-001,listing_open_v1,OOS,calibrated,2025,24,-0.043482,0.125,-1
HYP-CFL-ZW-POS-HL-NEG-CAL-001,listing_open_v1,OOS,calibrated,2026,31,0.017087,0.419355,1
HYP-CFL-ZW-POS-HL-NEG-CAL-001,listing_close_v1,OOS,calibrated,2023,87,-0.03005,0.482759,-1
HYP-CFL-ZW-POS-HL-NEG-CAL-001,listing_close_v1,OOS,calibrated,2024,41,0.055545,0.585366,1
HYP-CFL-ZW-POS-HL-NEG-CAL-001,listing_close_v1,OOS,calibrated,2025,27,0.012111,0.37037,1
HYP-CFL-ZW-POS-HL-NEG-CAL-001,listing_close_v1,OOS,calibrated,2026,26,0.017081,0.5,1
HYP-CFL-ZW-POS-HL-NEG-CAL-001,ipo_approx_v1,OOS,calibrated,2023,104,0.002486,0.5,1
HYP-CFL-ZW-POS-HL-NEG-CAL-001,ipo_approx_v1,OOS,calibrated,2024,69,-0.011635,0.376812,-1
HYP-CFL-ZW-POS-HL-NEG-CAL-001,ipo_approx_v1,OOS,calibrated,2025,29,-0.035392,0.37931,-1
HYP-CFL-ZW-POS-HL-NEG-CAL-001,ipo_approx_v1,OOS,calibrated,2026,35,-0.058849,0.314286,-1
