hypothesis_id,object_id,birth_model,direction_source,partition,horizon,event_count,pool_count,positive_rate,sample_count,eligible_stock_count,coverage_start,coverage_end,mean_return,median_return,std_return,up_rate,mean_excess_return,excess_up_rate,mean_bench_return
HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,TRAIN,10,3101,10647,0.291256,3097,244,2010-01-04,2020-06-30,0.003654,-0.001414,0.200214,0.492089,-0.002393,0.424927,0.006048
HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,TRAIN,20,3101,10647,0.291256,3095,244,2010-01-04,2020-06-30,0.008931,-0.00885,0.25337,0.462359,0.001726,0.430695,0.007206
HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,TRAIN,60,3101,10647,0.291256,3067,244,2010-01-04,2020-06-30,0.020161,-0.021698,0.312858,0.444408,0.019236,0.465928,0.000925
HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,VALIDATION,5,2072,5246,0.394968,2072,290,2019-01-02,2022-10-10,0.002263,0.008131,0.101867,0.546815,-0.010971,0.482625,0.013235
HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,VALIDATION,10,2072,5246,0.394968,2069,290,2019-01-02,2022-10-10,-0.008997,-0.00416,0.139454,0.473659,-0.020189,0.419526,0.011192
HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,VALIDATION,20,2072,5246,0.394968,2063,290,2019-01-02,2022-10-10,-0.053278,-0.04888,0.193239,0.341735,-0.055103,0.315075,0.001824
HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,VALIDATION,60,2072,5246,0.394968,1991,290,2019-01-02,2022-10-10,0.023983,-0.018824,0.285928,0.45555,-0.005515,0.424912,0.029499
HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,OOS,5,975,3529,0.276282,903,169,2023-01-03,2026-08-14,-0.027404,-0.020513,0.081139,0.341085,-0.011,0.41196,-0.016404
HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,OOS,10,975,3529,0.276282,899,169,2023-01-03,2026-08-14,-0.022881,-0.020833,0.107989,0.391546,-0.016345,0.399333,-0.006536
HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,OOS,20,975,3529,0.276282,889,169,2023-01-03,2026-08-14,-0.017324,-0.009132,0.173493,0.471316,-0.013897,0.448819,-0.003427
HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,OOS,60,975,3529,0.276282,802,169,2023-01-03,2026-08-14,-0.011736,-0.02447,0.235849,0.435162,-0.010329,0.447631,-0.001407
HYP-ZW-CAL-001,ziwei_calibrated,listing_open_v1,calibrated,TRAIN,5,2668,10647,0.250587,2667,246,2010-01-04,2020-06-30,0.000141,-0.00116,0.139667,0.488564,-0.000401,0.460442,0.000542
HYP-ZW-CAL-001,ziwei_calibrated,listing_open_v1,calibrated,TRAIN,10,2668,10647,0.250587,2664,246,2010-01-04,2020-06-30,0.001222,-0.004865,0.191505,0.476351,-0.004154,0.427177,0.005376
HYP-ZW-CAL-001,ziwei_calibrated,listing_open_v1,calibrated,TRAIN,20,2668,10647,0.250587,2660,246,2010-01-04,2020-06-30,0.009231,-0.013394,0.274445,0.45,0.003018,0.428947,0.006213
HYP-ZW-CAL-001,ziwei_calibrated,listing_open_v1,calibrated,TRAIN,60,2668,10647,0.250587,2630,246,2010-01-04,2020-06-30,0.028291,-0.021687,0.35702,0.44943,0.027072,0.468821,0.001219
HYP-ZW-CAL-001,ziwei_calibrated,listing_open_v1,calibrated,VALIDATION,5,1881,5246,0.358559,1880,285,2019-01-02,2022-10-10,0.001324,0.007524,0.100479,0.544681,-0.012692,0.467553,0.014016
HYP-ZW-CAL-001,ziwei_calibrated,listing_open_v1,calibrated,VALIDATION,10,1881,5246,0.358559,1877,285,2019-01-02,2022-10-10,-0.011879,-0.005904,0.136492,0.466169,-0.024108,0.407032,0.012229
HYP-ZW-CAL-001,ziwei_calibrated,listing_open_v1,calibrated,VALIDATION,20,1881,5246,0.358559,1877,285,2019-01-02,2022-10-10,-0.05573,-0.051502,0.19163,0.328716,-0.059435,0.314864,0.003705
HYP-ZW-CAL-001,ziwei_calibrated,listing_open_v1,calibrated,VALIDATION,60,1881,5246,0.358559,1814,285,2019-01-02,2022-10-10,0.018735,-0.01707,0.27971,0.453693,-0.015087,0.403528,0.033821
HYP-ZW-CAL-001,ziwei_calibrated,listing_open_v1,calibrated,OOS,5,746,3529,0.211391,694,166,2023-01-03,2026-08-14,-0.023284,-0.022853,0.074183,0.340058,-0.008266,0.410663,-0.015018
