hypothesis_id,object_id,birth_model,direction_source,partition,event_count,pool_count,positive_rate,date_count,min_rate,max_rate,std_rate,dates_above_high,dates_below_low,mean_hit_per_date,threshold_high,threshold_low
HYP-CON-ZW-HL-RAW-001,ziwei_huangli_raw,listing_open_v1,raw,OOS,341,3529,0.096628,16,0.0,0.251462,0.087276,0,7,21.3125,0.6,0.05
HYP-CON-ZW-HL-RAW-001,ziwei_huangli_raw,listing_close_v1,raw,TRAIN,1779,10647,0.167089,36,0.0,0.45098,0.11686,0,8,49.416667,0.6,0.05
HYP-CON-ZW-HL-RAW-001,ziwei_huangli_raw,listing_close_v1,raw,VALIDATION,1161,5246,0.221311,16,0.003413,0.460843,0.127749,0,2,72.5625,0.6,0.05
HYP-CON-ZW-HL-RAW-001,ziwei_huangli_raw,listing_close_v1,raw,OOS,453,3529,0.128365,16,0.0,0.308,0.099214,0,4,28.3125,0.6,0.05
HYP-CON-ZW-HL-RAW-001,ziwei_huangli_raw,ipo_approx_v1,raw,TRAIN,1365,10647,0.128205,36,0.0,0.330128,0.096698,0,10,37.916667,0.6,0.05
HYP-CON-ZW-HL-RAW-001,ziwei_huangli_raw,ipo_approx_v1,raw,VALIDATION,907,5246,0.172894,16,0.0,0.39521,0.11903,0,1,56.6875,0.6,0.05
HYP-CON-ZW-HL-RAW-001,ziwei_huangli_raw,ipo_approx_v1,raw,OOS,419,3529,0.118731,16,0.015564,0.356725,0.110677,0,7,26.1875,0.6,0.05
HYP-CON-ZW-HL-CAL-001,ziwei_huangli_calibrated,listing_open_v1,calibrated,TRAIN,693,10647,0.065089,36,0.0,0.199346,0.070102,0,22,19.25,0.6,0.05
HYP-CON-ZW-HL-CAL-001,ziwei_huangli_calibrated,listing_open_v1,calibrated,VALIDATION,364,5246,0.069386,16,0.0,0.222552,0.077349,0,10,22.75,0.6,0.05
HYP-CON-ZW-HL-CAL-001,ziwei_huangli_calibrated,listing_open_v1,calibrated,OOS,179,3529,0.050723,16,0.0,0.145669,0.057592,0,10,11.1875,0.6,0.05
HYP-CON-ZW-HL-CAL-001,ziwei_huangli_calibrated,listing_close_v1,calibrated,TRAIN,702,10647,0.065934,36,0.0,0.277778,0.07407,0,23,19.5,0.6,0.05
HYP-CON-ZW-HL-CAL-001,ziwei_huangli_calibrated,listing_close_v1,calibrated,VALIDATION,474,5246,0.090355,16,0.0,0.301205,0.092979,0,8,29.625,0.6,0.05
HYP-CON-ZW-HL-CAL-001,ziwei_huangli_calibrated,listing_close_v1,calibrated,OOS,147,3529,0.041655,16,0.0,0.14,0.051854,0,11,9.1875,0.6,0.05
HYP-CON-ZW-HL-CAL-001,ziwei_huangli_calibrated,ipo_approx_v1,calibrated,TRAIN,625,10647,0.058702,36,0.0,0.21194,0.067265,0,23,17.361111,0.6,0.05
HYP-CON-ZW-HL-CAL-001,ziwei_huangli_calibrated,ipo_approx_v1,calibrated,VALIDATION,349,5246,0.066527,16,0.0,0.222552,0.076084,0,10,21.8125,0.6,0.05
HYP-CON-ZW-HL-CAL-001,ziwei_huangli_calibrated,ipo_approx_v1,calibrated,OOS,206,3529,0.058373,16,0.0,0.169591,0.068109,0,10,12.875,0.6,0.05
HYP-CON-ALL3-RAW-001,all_three_raw,listing_open_v1,raw,TRAIN,1359,10647,0.127642,36,0.0,0.307692,0.092574,0,10,37.75,0.6,0.05
HYP-CON-ALL3-RAW-001,all_three_raw,listing_open_v1,raw,VALIDATION,886,5246,0.168891,16,0.0,0.386228,0.115895,0,2,55.375,0.6,0.05
HYP-CON-ALL3-RAW-001,all_three_raw,listing_open_v1,raw,OOS,333,3529,0.094361,16,0.0,0.245614,0.084879,0,7,20.8125,0.6,0.05
HYP-CON-ALL3-RAW-001,all_three_raw,listing_close_v1,raw,TRAIN,1755,10647,0.164835,36,0.0,0.441176,0.115147,0,8,48.75,0.6,0.05
HYP-CON-ALL3-RAW-001,all_three_raw,listing_close_v1,raw,VALIDATION,1127,5246,0.21483,16,0.003413,0.427711,0.120721,0,2,70.4375,0.6,0.05
HYP-CON-ALL3-RAW-001,all_three_raw,listing_close_v1,raw,OOS,439,3529,0.124398,16,0.0,0.302885,0.099379,0,4,27.4375,0.6,0.05
HYP-CON-ALL3-RAW-001,all_three_raw,ipo_approx_v1,raw,TRAIN,1325,10647,0.124448,36,0.0,0.326923,0.092789,0,10,36.805556,0.6,0.05
HYP-CON-ALL3-RAW-001,all_three_raw,ipo_approx_v1,raw,VALIDATION,896,5246,0.170797,16,0.0,0.39521,0.117704,0,1,56.0,0.6,0.05
HYP-CON-ALL3-RAW-001,all_three_raw,ipo_approx_v1,raw,OOS,403,3529,0.114197,16,0.015564,0.333333,0.105403,0,7,25.1875,0.6,0.05
HYP-CON-ALL3-CAL-001,all_three_calibrated,listing_open_v1,calibrated,TRAIN,267,10647,0.025077,36,0.0,0.115385,0.029849,0,31,7.416667,0.6,0.05
HYP-CON-ALL3-CAL-001,all_three_calibrated,listing_open_v1,calibrated,VALIDATION,140,5246,0.026687,16,0.0,0.089021,0.031449,0,12,8.75,0.6,0.05
HYP-CON-ALL3-CAL-001,all_three_calibrated,listing_open_v1,calibrated,OOS,66,3529,0.018702,16,0.0,0.103261,0.029835,0,13,4.125,0.6,0.05
HYP-CON-ALL3-CAL-001,all_three_calibrated,listing_close_v1,calibrated,TRAIN,248,10647,0.023293,36,0.0,0.091503,0.025076,0,31,6.888889,0.6,0.05
HYP-CON-ALL3-CAL-001,all_three_calibrated,listing_close_v1,calibrated,VALIDATION,194,5246,0.036981,16,0.0,0.097923,0.034571,0,10,12.125,0.6,0.05
HYP-CON-ALL3-CAL-001,all_three_calibrated,listing_close_v1,calibrated,OOS,41,3529,0.011618,16,0.0,0.043307,0.014543,0,16,2.5625,0.6,0.05
HYP-CON-ALL3-CAL-001,all_three_calibrated,ipo_approx_v1,calibrated,TRAIN,227,10647,0.021321,36,0.0,0.106164,0.028351,0,31,6.305556,0.6,0.05
HYP-CON-ALL3-CAL-001,all_three_calibrated,ipo_approx_v1,calibrated,VALIDATION,150,5246,0.028593,16,0.0,0.109792,0.033196,0,13,9.375,0.6,0.05
HYP-CON-ALL3-CAL-001,all_three_calibrated,ipo_approx_v1,calibrated,OOS,71,3529,0.020119,16,0.0,0.108696,0.028656,0,15,4.4375,0.6,0.05
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,conflict_bazi_pos_ziwei_neg,listing_open_v1,calibrated,TRAIN,610,10647,0.057293,36,0.005917,0.137124,0.038132,0,16,16.944444,0.6,0.05
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,conflict_bazi_pos_ziwei_neg,listing_open_v1,calibrated,VALIDATION,204,5246,0.038887,16,0.005988,0.176292,0.046627,0,13,12.75,0.6,0.05
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,conflict_bazi_pos_ziwei_neg,listing_open_v1,calibrated,OOS,200,3529,0.056673,16,0.019417,0.099099,0.02261,0,7,12.5,0.6,0.05
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,conflict_bazi_pos_ziwei_neg,listing_close_v1,calibrated,TRAIN,573,10647,0.053818,36,0.006803,0.12628,0.029368,0,18,15.916667,0.6,0.05
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,conflict_bazi_pos_ziwei_neg,listing_close_v1,calibrated,VALIDATION,191,5246,0.036409,16,0.012012,0.098305,0.028342,0,13,11.9375,0.6,0.05
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,conflict_bazi_pos_ziwei_neg,listing_close_v1,calibrated,OOS,246,3529,0.069708,16,0.026022,0.150259,0.037174,0,4,15.375,0.6,0.05
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,conflict_bazi_pos_ziwei_neg,ipo_approx_v1,calibrated,TRAIN,676,10647,0.063492,36,0.006116,0.167364,0.042239,0,15,18.777778,0.6,0.05
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,conflict_bazi_pos_ziwei_neg,ipo_approx_v1,calibrated,VALIDATION,234,5246,0.044605,16,0.011976,0.164134,0.049708,0,13,14.625,0.6,0.05
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,conflict_bazi_pos_ziwei_neg,ipo_approx_v1,calibrated,OOS,233,3529,0.066024,16,0.035019,0.093264,0.018464,0,3,14.5625,0.6,0.05
HYP-CFL-BZ-NEG-ZW-POS-CAL-001,conflict_ziwei_pos_bazi_neg,listing_open_v1,calibrated,TRAIN,620,10647,0.058232,36,0.008368,0.135542,0.031573,0,18,17.222222,0.6,0.05
HYP-CFL-BZ-NEG-ZW-POS-CAL-001,conflict_ziwei_pos_bazi_neg,listing_open_v1,calibrated,VALIDATION,440,5246,0.083873,16,0.006826,0.150888,0.041207,0,3,27.5,0.6,0.05
